Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
---------------------------------------------------------------------------
Vardas2        Pavarde2                            4.16                4.20
Vardas5        Pavarde5                            3.20                2.80
Vardas7        Pavarde7                            2.68                2.60
Vardas9        Pavarde9                            4.24                4.20
Vardas15       Pavarde15                           4.80                4.80
Vardas16       Pavarde16                           4.80                4.60
Vardas23       Pavarde23                           4.92                4.80
Vardas24       Pavarde24                           2.92                2.60
Vardas27       Pavarde27                           2.24                1.80
Vardas30       Pavarde30                           4.20                4.00
Vardas31       Pavarde31                           4.52                4.40
Vardas33       Pavarde33                           4.40                4.80
Vardas35       Pavarde35                           4.48                4.60
Vardas36       Pavarde36                           3.20                3.40
Vardas38       Pavarde38                           4.92                4.80
Vardas40       Pavarde40                           2.12                1.40
Vardas41       Pavarde41                           3.04                3.40
Vardas42       Pavarde42                           3.96                4.00
Vardas44       Pavarde44                           4.40                4.60
Vardas46       Pavarde46                           4.56                4.40
Vardas47       Pavarde47                           3.68                3.80
Vardas49       Pavarde49                           4.24                3.80
Vardas50       Pavarde50                           4.64                4.60
Vardas51       Pavarde51                           3.44                3.20
Vardas52       Pavarde52                           3.32                3.60
Vardas54       Pavarde54                           2.20                1.80
Vardas62       Pavarde62                           3.44                3.20
Vardas65       Pavarde65                           2.44                1.80
Vardas68       Pavarde68                           4.88                4.80
Vardas69       Pavarde69                           3.48                3.20
Vardas70       Pavarde70                           3.44                3.80
Vardas71       Pavarde71                           4.64                4.60
Vardas73       Pavarde73                           4.04                3.60
Vardas77       Pavarde77                           4.20                4.20
Vardas83       Pavarde83                           4.12                3.80
Vardas85       Pavarde85                           4.92                4.80
Vardas86       Pavarde86                           3.92                4.20
Vardas87       Pavarde87                           4.08                4.40
Vardas91       Pavarde91                           2.48                2.00
Vardas96       Pavarde96                           3.32                3.20
Vardas98       Pavarde98                           2.64                2.60
Vardas100      Pavarde100                          4.88                5.00
Vardas101      Pavarde101                          4.24                4.60
Vardas105      Pavarde105                          4.32                4.60
Vardas106      Pavarde106                          4.08                4.00
Vardas108      Pavarde108                          4.32                4.20
Vardas109      Pavarde109                          4.12                4.20
Vardas110      Pavarde110                          3.00                3.00
Vardas117      Pavarde117                          3.88                3.60
Vardas118      Pavarde118                          4.52                4.40
Vardas119      Pavarde119                          3.96                3.60
Vardas124      Pavarde124                          3.44                3.60
Vardas128      Pavarde128                          2.96                2.40
Vardas129      Pavarde129                          3.52                3.60
Vardas131      Pavarde131                          4.84                4.80
Vardas132      Pavarde132                          4.04                4.20
Vardas133      Pavarde133                          2.88                2.60
Vardas134      Pavarde134                          4.92                5.00
Vardas135      Pavarde135                          3.08                3.00
Vardas138      Pavarde138                          4.32                4.80
Vardas140      Pavarde140                          3.36                3.80
Vardas142      Pavarde142                          2.84                2.80
